title,location,price,bedrooms,bathrooms,link
4 Bed House with Garage in Langata,Langata,"KSh 17,500,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-langata-3560374
4 Bed Townhouse with Garage in Kiambu Road,Kiambu Road,"KSh 28,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kiambu-road-3560849
4 Bed Townhouse with Garage in South C,South C,"KSh 24,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-south-c-3524817
3 Bed Townhouse with Garage at South C,"south c, Mombasa Road","KSh 35,000,000",3,3,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-mombasa-road-1-3478550
5 Bed Townhouse with Gym in Karen,Karen,"KSh 95,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-karen-3552361
4 Bed House with Balcony in Karen,Karen,"KSh 80,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3560190
6 Bed Villa with Garage at Mzima Springs Road,"Mzima Springs Road, Lavington","KSh 105,000,000",6,6,https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-lavington-3493640
5 Bed House with Gym in Runda,"Runda, Westlands","KSh 200,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3547731
7 Bed Villa with Garage at Mushroom Gardens Estate,"Mushroom Gardens Estate, Kiambu Road","KSh 185,000,000",7,8,https://www.buyrentkenya.com/listings/7-bedroom-villa-for-sale-kiambu-road-4-3469451
5 Bed Townhouse with Swimming Pool in Lavington,Lavington,"KSh 78,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3516869
5 Bed Villa with Garage at Amboseli,"Amboseli, Lavington","KSh 58,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lavington-3489426
5 Bed Townhouse with Garage at Westlands,"Westlands, General Mathenge","KSh 70,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-general-mathenge-3512114
5 Bed House with Garage at Ruaka Drive,"Ruaka Drive, Runda, Westlands","KSh 175,000,000",5,,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3506936
6 Bed House with Gym at Ushirika Road,"Ushirika Road, Karen Hardy","KSh 120,000,000",6,6,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-karen-hardy-3557889
4 Bed Villa with Gym at Fivestar Meadows,"Fivestar Meadows, Kiambu Road","KSh 36,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kiambu-road-3530135
5 Bed Villa with Gym at Nairobi,"Nairobi, Lavington","KSh 70,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lavington-3544455
4 Bed House with Balcony in Karen,Karen,"KSh 120,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3541277
5 Bed Villa with Gym at Mugumo Road,"67, Mugumo Road, Lavington","KSh 120,000,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lavington-3559237
5 Bed House with Garage in Runda,"Runda, Westlands","KSh 80,000,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3547364
4 Bed Townhouse with Swimming Pool in Runda,"Runda, Westlands","KSh 38,000,000",4,,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-runda-3560673
4 Bed House with Aircon in Kiambu Road,Kiambu Road,"KSh 29,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3444688
5 Bed House with Garage in Lavington,Lavington,"KSh 80,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-1-3433310
